,Sentence,Sentiment,Translated_Sentence
5079,"The Russian government will contribute 20 % of the necessary funds , he said .",neutral,"Pemerintah Rusia akan memberikan kontribusi 20% dari dana yang diperlukan, katanya."
5080,We are now in a position to pursue novel clinical candidates going forward . '',positive,Kami sekarang dalam posisi untuk mengejar calon klinis baru ke depan. ''
5081,Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006 .,neutral,"Penjualan bersih Cymed diperkirakan mencapai EUR 3,5 juta pada tahun 2006 ."
5082,"Operating profit decreased to nearly EUR 1.7 mn , however .",negative,"Namun, laba operasional turun menjadi hampir EUR 1,7 juta."
5083,"Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals .",neutral,"Setelah akuisisi, Panostaja akan mendirikan unit bisnis baru yang akan fokus pada perlakuan panas logam."
5084,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",positive,"Minyak Sarang Finlandia telah dianugerahi Penghargaan Inovasi Federasi Industri Kimia Finlandia untuk teknologi NExBTL-nya, yang memungkinkan biodiesel diproduksi dari minyak nabati dan lemak hewani."
5085,The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .,neutral,Perusahaan cat Finlandia itu mengakuisisi 49 persen sisanya yang tidak dimilikinya dari LGU Ukraina dengan jumlah yang tidak diungkapkan.
5086,Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,neutral,Atria juga akan membeli saham Kauhajoen Teurastamokiinteistot Oy (properti rumah jagal Kauhajoki) dari Koperasi Itikka.
5087,Terms of the acquisition were not disclosed .,neutral,Persyaratan akuisisi tidak diungkapkan.
5088,"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",neutral,"Dikombinasikan dengan portofolio Basware Enterprise Purchase to Pay, ini menyediakan otomatisasi tingkat tinggi untuk alur kerja pengadaan dan faktur."
5089,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,"Perusahaan ini menghasilkan penjualan bersih sekitar 600 juta euro $775,5 juta per tahun dan mempekerjakan 6.000 orang."
5090,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,neutral,RSA Insurance Mempekerjakan Egan Towergate sebagai Chief Financial Officer
5091,"Via the move , the company aims annual savings of some EUR 3 million USD 4.3 m , the main part of which are expected to be realized this year .",positive,"Melalui langkah tersebut, perusahaan menargetkan penghematan tahunan sekitar EUR 3 juta USD 4,3 juta, yang sebagian besar diharapkan dapat direalisasikan tahun ini."
5092,"However , the bottom-line result improved thanks to positive financial items .",positive,"Namun, hasil bottom-line membaik berkat item keuangan yang positif."
5093,$NFLX +3% of the lows,positive,$NFLX +3% dari posisi terendah
5094,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,"Pemilik NYSE, ICE, dapat membatalkan merger Deutsche Boerse-LSE"
5095,"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",neutral,"Ahlstrom, yang berkantor pusat di Helsinki, Finlandia, adalah pemimpin global dalam pengembangan, pembuatan, dan pemasaran bahan berbasis serat berkinerja tinggi."
5096,$DMND green and moving,positive,$DMND hijau dan bergerak
5097,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",neutral,"Pada Q2 tahun 2009 , laba sebelum pajak berjumlah EUR 13,6 juta , turun dari EUR 26,8 juta di Q2 tahun 2008 ."
5098,The value of this kind of order amounts usually between Euro 2 and 3 million .,neutral,Nilai pesanan semacam ini biasanya antara 2 dan 3 juta Euro.
5099,"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral,"Koleksi kosmetiknya meliputi eye shadow, bedak wajah, lip gloss, maskara dan aksesoris."
5100,The increase range will vary up to 10 % .,neutral,Kisaran peningkatan akan bervariasi hingga 10%.
5101,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive,Merger LSE-Deutsche Boerse akan menandakan berakhirnya pertukaran mega-kesepakatan
5102,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative,"Laba operasi untuk melanjutkan operasi turun menjadi EUR 48,3 juta dari EUR 72,4 juta pada paruh pertama tahun 2007 ."
5103,The company then said it will focus its resources on clinical research .,neutral,Perusahaan kemudian mengatakan akan memfokuskan sumber dayanya pada penelitian klinis.
5104,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,neutral,"Laba bersih Glaston untuk kuartal ketiga 2007 turun menjadi 2,4 juta euro ($ 3,5 juta) dari 3,5 juta euro ($ 5,1 juta) untuk periode yang sama tahun 2006."
5105,"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .",neutral,"Instalasi Tekla Structures 16 telah dibuat sesuai dengan persyaratan Microsoft untuk sertifikasi Windows 7, tambah Perusahaan."
5106,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive,"AstraZeneca Mengakuisisi ZS Pharma dalam Kesepakatan $2,7 Miliar"
5107,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,neutral,LONDON MarketWatch -- Harga saham berakhir lebih rendah di London Senin karena rebound pada saham bank gagal mengimbangi kelemahan yang lebih luas untuk FTSE 100 .
5108,Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative,"Saham Kone turun 4,1 persen menjadi x20ac 43 US$ 55,77 di Helsinki."
5109,"In 2007 , Huhtamaki will continue to invest in organic growth .",neutral,"Pada tahun 2007, Huhtamaki akan terus berinvestasi dalam pertumbuhan organik."
5110,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral,"Surat kabar Daily Graphic, pada bulan Oktober, melaporkan sebuah inisiatif yang dimulai oleh Fidelity Bank untuk bermitra dengan Ghana Post, yang memiliki kantor di seluruh negeri, untuk menawarkan layanan keuangan kepada mereka yang tidak memiliki rekening bank dan tidak memiliki rekening bank di negara tersebut."
5111,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral,"unit pengolahan kaca milik Glaston, Tamglass Glass Processing, adalah produsen produk kaca pengaman berkualitas tinggi yang beroperasi di Finlandia."
5112,"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral,Dari saham tersebut 14.747.084 dimiliki oleh Perusahaan dan jumlah saham yang beredar dan hak suara yang melekat pada saham tersebut menjadi 161.256.847 .
5113,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",negative,"Saham Inggris Sedikit Berubah Mendekati Rekor karena Barclays, Shell Jatuh"
5114,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,negative,"$AMRN Mendapat sinyal jual 1/7/14 masih berlaku dengan target di bawah 1,50"
5115,"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",neutral,"Mikko Saavalainen, kepala Penjualan Global Comptel menyimpulkan: `` Gibtelecom memberikan ilustrasi sempurna tentang berbagai tantangan bisnis, teknis, dan peraturan yang dihadapi operator di OSS mereka saat ini."
5116,"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .",neutral,"ALEXANDRIA , Va. , 6 Okt -- Paten Amerika Serikat no. 7.804.288, diterbitkan pada 28 September, ditugaskan ke Vacon Oyj (Vasa, Finlandia)."
5117,Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,positive,Perusahaan industri makanan Finlandia HK Ruokatalo dan Atria akan membentuk perusahaan patungan bernama L+ñnsi-Kalkkuna untuk memproduksi daging kalkun .
5118,"Its annual capacity is some 10,000 MW .",neutral,Kapasitas tahunannya sekitar 10.000 MW.
5119,"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",neutral,"S&P telah mempertahankan peringkat ``sell '', sementara Nordea dan UBS telah menegaskan kembali rekomendasi ``beli '' mereka."
5120,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,"Laba operasional tidak termasuk biaya restrukturisasi tumbuh menjadi EUR 44,5 juta dari EUR 31,7 juta sementara laba operasi termasuk biaya restrukturisasi menunjukkan pertumbuhan yang lebih besar menjadi EUR 38,5 juta dari EUR 7,4 juta."
5121,"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .",positive,"Pendapatan dari Juli hingga September tumbuh 21 persen menjadi EURO 2,3 miliar, kata perusahaan Finlandia itu Kamis."
5122,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,"Laba operasional naik menjadi EUR 13,1 juta dari EUR 8,7 juta pada periode yang sama di tahun 2007 yang mewakili 7,7% dari penjualan bersih."
5123,$KCG bot at 2.24,positive,$KCG bot di 2.24
5124,"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",negative,"Di Finlandia , Bank of +àland melaporkan laba operasionalnya turun menjadi EUR 6,1 juta pada kuartal kedua tahun 2008 dari EUR 7,5 juta pada kuartal kedua tahun 2007 ."
5125,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",neutral,"Dalam pengumuman terpisah kepada bursa saham Helsinki, Atria mengungkapkan bahwa laba kuartal ketiga perusahaan turun dari EUR13,9 juta pada kuartal ketiga tahun lalu menjadi EUR12,7 juta pada kuartal ketiga tahun ini."
5126,The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,positive,Grup Finlandia mengantisipasi keuntungan penjualan sebesar EUR42m setelah pajak dan biaya.
5127,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative,"Kerugian operasional unit Pulp & Paper Machinery lebih dari EUR 3 juta pada September 2007 - Agustus 2008, dibandingkan dengan laba EUR 3,7 juta tahun sebelumnya."
5128,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative,"Di negara-negara Baltik, penjualan turun 40,2%, dan di Rusia, 23,2% dalam euro, dan 10,7% dalam mata uang lokal."
5129,CompaniesKingfisher bid for Mr Bricolage runs into trouble,negative,Tawaran CompaniesKingfisher untuk Mr Bricolage mengalami masalah
5130,"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",neutral,"Perubahan nilai wajar properti investasi adalah EUR 15,8 juta , dibandingkan dengan EUR 22,9 juta pada kuartal ketiga 2009 ."
5131,The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive,Perusahaan berencana untuk memperluas ke pasar internasional melalui anak perusahaan dan distributor mulai 2011 dan seterusnya.
5132,The investment would be some EUR5m .,neutral,Investasi akan menjadi beberapa EUR5m.
5133,"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+ñhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance .",positive,"Menurut perusahaan asuransi Finlandia Tapiola, Grup Asuransi Lokal (L+ñhivakuutus), dan Pohjola, dua badai dahsyat pada akhir Juli dan awal Agustus 2010 yang menebang pohon di sekitar Finlandia telah mempercepat penjualan asuransi hutan."
5134,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative,$GLD http://stks.co/44ow Pada pemeriksaan lebih dekat. Resistance 10 poin ke utara di 200d dan trendline ke bawah. Bagan 2 dari 2.
5135,In Sweden the agreement covers data communication services as well .,neutral,"Di Swedia, perjanjian tersebut juga mencakup layanan komunikasi data."
